#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:58:36.115
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: -2.5 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Amplitude: 1 V
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.00472,1.9708
-0.00471875,1.97114
-0.0047175,1.9708
-0.00471625,1.9708
-0.004715,1.9708
-0.00471375,1.97114
-0.0047125,1.9708
-0.00471125,1.97114
-0.00471,1.97181
-0.00470875,1.97114
-0.0047075,1.97114
-0.00470625,1.97147
-0.004705,1.97114
-0.00470375,1.9708
-0.0047025,1.9708
-0.00470125,1.97114
-0.0047,1.9708
-0.00469875,1.97114
-0.0046975,1.97114
-0.00469625,1.9708
-0.004695,1.97114
-0.00469375,1.9708
-0.0046925,1.97114
-0.00469125,1.9708
-0.00469,1.9708
-0.00468875,1.97114
-0.0046875,1.97114
-0.00468625,1.97114
-0.004685,1.97114
-0.00468375,1.97114
-0.0046825,1.97114
-0.00468125,1.9708
-0.00468,1.97114
-0.00467875,1.97114
-0.0046775,1.97114
-0.00467625,1.9708
-0.004675,1.9708
-0.00467375,1.9708
-0.0046725,1.97114
-0.00467125,1.97114
-0.00467,1.97114
-0.00466875,1.97114
-0.0046675,1.97114
-0.00466625,1.9708
-0.004665,1.9708
-0.00466375,1.9708
-0.0046625,1.9708
-0.00466125,1.97047
-0.00466,1.97114
-0.00465875,1.9708
-0.0046575,1.9708
-0.00465625,1.97047
-0.004655,1.97114
-0.00465375,1.97114
-0.0046525,1.9708
-0.00465125,1.97114
-0.00465,1.97147
-0.00464875,1.97114
-0.0046475,1.97114
-0.00464625,1.97114
-0.004645,1.97114
-0.00464375,1.9708
-0.0046425,1.97114
-0.00464125,1.9708
-0.00464,1.97047
-0.00463875,1.9708
-0.0046375,1.97114
-0.00463625,1.97147
-0.004635,1.9708
-0.00463375,1.97114
-0.0046325,1.97114
-0.00463125,1.97114
-0.00463,1.9708
-0.00462875,1.9708
-0.0046275,1.97114
-0.00462625,1.9708
-0.004625,1.97114
-0.00462375,1.9708
-0.0046225,1.9708
-0.00462125,1.9708
-0.00462,1.97114
-0.00461875,1.97114
-0.0046175,1.97013
-0.00461625,1.9708
-0.004615,1.97181
-0.00461375,1.97114
-0.0046125,1.9708
-0.00461125,1.9708
-0.00461,1.97114
-0.00460875,1.97114
-0.0046075,1.9708
-0.00460625,1.9708
-0.004605,1.97147
-0.00460375,1.97114
-0.0046025,1.97114
-0.00460125,1.9708
-0.0046,1.9708
-0.00459875,1.97114
-0.0045975,1.9708
-0.00459625,1.97047
-0.004595,1.97047
-0.00459375,1.9708
-0.0045925,1.97114
-0.00459125,1.9708
-0.00459,1.97114
-0.00458875,1.97114
-0.0045875,1.97047
-0.00458625,1.97114
-0.004585,1.97114
-0.00458375,1.97114
-0.0045825,1.9708
-0.00458125,1.97114
-0.00458,1.9708
-0.00457875,1.97147
-0.0045775,1.9708
-0.00457625,1.9708
-0.004575,1.9708
-0.00457375,1.97114
-0.0045725,1.9708
-0.00457125,1.97114
-0.00457,1.97114
-0.00456875,1.97114
-0.0045675,1.97114
-0.00456625,1.97114
-0.004565,1.9708
-0.00456375,1.97047
-0.0045625,1.97114
-0.00456125,1.97147
-0.00456,1.97114
-0.00455875,1.9708
-0.0045575,1.9708
-0.00455625,1.97047
-0.004555,1.97013
-0.00455375,1.97114
-0.0045525,1.9708
-0.00455125,1.97114
-0.00455,1.97114
-0.00454875,1.97047
-0.0045475,1.97047
-0.00454625,1.97013
-0.004545,1.97047
-0.00454375,1.9708
-0.0045425,1.9708
-0.00454125,1.9708
-0.00454,1.9708
-0.00453875,1.97047
-0.0045375,1.9708
-0.00453625,1.9708
-0.004535,1.97114
-0.00453375,1.9708
-0.0045325,1.9708
-0.00453125,1.97114
-0.00453,1.9708
-0.00452875,1.9708
-0.0045275,1.97114
-0.00452625,1.9708
-0.004525,1.9708
-0.00452375,1.9708
-0.0045225,1.9708
-0.00452125,1.97047
-0.00452,1.9708
-0.00451875,1.9708
-0.0045175,1.97114
-0.00451625,1.9708
-0.004515,1.97114
-0.00451375,1.9708
-0.0045125,1.97047
-0.00451125,1.9708
-0.00451,1.97114
-0.00450875,1.9708
-0.0045075,1.9708
-0.00450625,1.97047
-0.004505,1.97114
-0.00450375,1.97047
-0.0045025,1.9708
-0.00450125,1.97114
-0.0045,1.9708
-0.00449875,1.9708
-0.0044975,1.97114
-0.00449625,1.97114
-0.004495,1.9708
-0.00449375,1.9708
-0.0044925,1.97114
-0.00449125,1.97114
-0.00449,1.9708
-0.00448875,1.9708
-0.0044875,1.97114
-0.00448625,1.97114
-0.004485,1.97114
-0.00448375,1.97114
-0.0044825,1.97114
-0.00448125,1.97114
-0.00448,1.97114
-0.00447875,1.97114
-0.0044775,1.97114
-0.00447625,1.97114
-0.004475,1.97147
-0.00447375,1.9708
-0.0044725,1.97147
-0.00447125,1.97114
-0.00447,1.97114
-0.00446875,1.9708
-0.0044675,1.9708
-0.00446625,1.9708
-0.004465,1.9708
-0.00446375,1.9708
-0.0044625,1.97047
-0.00446125,1.97114
-0.00446,1.97114
-0.00445875,1.9708
-0.0044575,1.9708
-0.00445625,1.97114
-0.004455,1.97047
-0.00445375,1.9708
-0.0044525,1.9708
-0.00445125,1.97114
-0.00445,1.9708
-0.00444875,1.97114
-0.0044475,1.97114
-0.00444625,1.9708
-0.004445,1.97114
-0.00444375,1.97114
-0.0044425,1.97114
-0.00444125,1.97114
-0.00444,1.9708
-0.00443875,1.97047
-0.0044375,1.97114
-0.00443625,1.9708
-0.004435,1.97114
-0.00443375,1.97114
-0.0044325,1.9708
-0.00443125,1.97114
-0.00443,1.97114
-0.00442875,1.97114
-0.0044275,1.97114
-0.00442625,1.97114
-0.004425,1.97114
-0.00442375,1.97114
-0.0044225,1.97114
-0.00442125,1.97114
-0.00442,1.97147
-0.00441875,1.97114
-0.0044175,1.9708
-0.00441625,1.9708
-0.004415,1.9708
-0.00441375,1.9708
-0.0044125,1.97114
-0.00441125,1.97114
-0.00441,1.97114
-0.00440875,1.97114
-0.0044075,1.97147
-0.00440625,1.97147
-0.004405,1.9708
-0.00440375,1.97114
-0.0044025,1.97047
-0.00440125,1.9708
-0.0044,1.9708
-0.00439875,1.9708
-0.0043975,1.9708
-0.00439625,1.97013
-0.004395,1.9708
-0.00439375,1.9708
-0.0043925,1.9708
-0.00439125,1.97114
-0.00439,1.97114
-0.00438875,1.9708
-0.0043875,1.9708
-0.00438625,1.9708
-0.004385,1.97013
-0.00438375,1.97047
-0.0043825,1.97047
-0.00438125,1.9708
-0.00438,1.97047
-0.00437875,1.97047
-0.0043775,1.97047
-0.00437625,1.97047
-0.004375,1.97047
-0.00437375,1.97047
-0.0043725,1.97114
-0.00437125,1.97114
-0.00437,1.97114
-0.00436875,1.9708
-0.0043675,1.9708
-0.00436625,1.97047
-0.004365,1.97047
-0.00436375,1.97013
-0.0043625,1.97047
-0.00436125,1.97013
-0.00436,1.9708
-0.00435875,1.9708
-0.0043575,1.9708
-0.00435625,1.97047
-0.004355,1.97013
-0.00435375,1.97013
-0.0043525,1.97047
-0.00435125,1.97047
-0.00435,1.9708
-0.00434875,1.97047
-0.0043475,1.97013
-0.00434625,1.97047
-0.004345,1.9708
-0.00434375,1.97047
-0.0043425,1.97047
-0.00434125,1.9708
-0.00434,1.97047
-0.00433875,1.97047
-0.0043375,1.97047
-0.00433625,1.9708
-0.004335,1.9708
-0.00433375,1.9708
-0.0043325,1.9708
-0.00433125,1.9708
-0.00433,1.9708
-0.00432875,1.9708
-0.0043275,1.9708
-0.00432625,1.97114
-0.004325,1.97114
-0.00432375,1.9708
-0.0043225,1.9708
-0.00432125,1.9708
-0.00432,1.97047
-0.00431875,1.97114
-0.0043175,1.9708
-0.00431625,1.97047
-0.004315,1.9708
-0.00431375,1.9708
-0.0043125,1.97114
-0.00431125,1.97114
-0.00431,1.97114
-0.00430875,1.9708
-0.0043075,1.9708
-0.00430625,1.9708
-0.004305,1.97114
-0.00430375,1.97147
-0.0043025,1.97147
-0.00430125,1.9708
-0.0043,1.9708
-0.00429875,1.9708
-0.0042975,1.97047
-0.00429625,1.97047
-0.004295,1.97047
-0.00429375,1.9708
-0.0042925,1.97147
-0.00429125,1.97114
-0.00429,1.9708
-0.00428875,1.9708
-0.0042875,1.9708
-0.00428625,1.97047
-0.004285,1.9708
-0.00428375,1.9708
-0.0042825,1.9708
-0.00428125,1.9708
-0.00428,1.97114
-0.00427875,1.97114
-0.0042775,1.97181
-0.00427625,1.97114
-0.004275,1.97147
-0.00427375,1.9708
-0.0042725,1.97114
-0.00427125,1.97147
-0.00427,1.97147
-0.00426875,1.9708
-0.0042675,1.97114
-0.00426625,1.97114
-0.004265,1.9708
-0.00426375,1.97114
-0.0042625,1.97147
-0.00426125,1.97147
-0.00426,1.9708
-0.00425875,1.97114
-0.0042575,1.9708
-0.00425625,1.9708
-0.004255,1.9708
-0.00425375,1.97114
-0.0042525,1.97114
-0.00425125,1.97114
-0.00425,1.97114
-0.00424875,1.97147
-0.0042475,1.97147
-0.00424625,1.97147
-0.004245,1.97114
-0.00424375,1.97147
-0.0042425,1.97147
-0.00424125,1.97147
-0.00424,1.97147
-0.00423875,1.97114
-0.0042375,1.97047
-0.00423625,1.97114
-0.004235,1.9708
-0.00423375,1.97114
-0.0042325,1.9708
-0.00423125,1.97114
-0.00423,1.97114
-0.00422875,1.97114
-0.0042275,1.97114
-0.00422625,1.9708
-0.004225,1.9708
-0.00422375,1.97114
-0.0042225,1.97114
-0.00422125,1.9708
-0.00422,1.9708
-0.00421875,1.9708
-0.0042175,1.9708
-0.00421625,1.97114
-0.004215,1.97047
-0.00421375,1.9708
-0.0042125,1.97147
-0.00421125,1.97147
-0.00421,1.97114
-0.00420875,1.9708
-0.0042075,1.9708
-0.00420625,1.97114
-0.004205,1.97147
-0.00420375,1.97147
-0.0042025,1.97114
-0.00420125,1.9708
-0.0042,1.9708
-0.00419875,1.9708
-0.0041975,1.97114
-0.00419625,1.97114
-0.004195,1.9708
-0.00419375,1.9708
-0.0041925,1.97114
-0.00419125,1.97047
-0.00419,1.97114
-0.00418875,1.9708
-0.0041875,1.9708
-0.00418625,1.97114
-0.004185,1.97114
-0.00418375,1.97147
-0.0041825,1.97114
-0.00418125,1.97114
-0.00418,1.97114
-0.00417875,1.9708
-0.0041775,1.97147
-0.00417625,1.97147
-0.004175,1.97114
-0.00417375,1.9708
-0.0041725,1.9708
-0.00417125,1.9708
-0.00417,1.9708
-0.00416875,1.97047
-0.0041675,1.97047
-0.00416625,1.9708
-0.004165,1.9708
-0.00416375,1.9708
-0.0041625,1.97147
-0.00416125,1.97114
-0.00416,1.97114
-0.00415875,1.97047
-0.0041575,1.97047
-0.00415625,1.97013
