#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:56:17.970
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 100 mV/div Offset: -3 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Amplitude: 50 mV
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.00043966,2.91279
-0.00043953,2.91279
-0.0004394,2.91279
-0.00043927,2.91245
-0.00043914,2.91211
-0.00043901,2.91245
-0.00043888,2.91312
-0.00043875,2.91312
-0.00043862,2.91279
-0.00043849,2.91312
-0.00043836,2.91346
-0.00043823,2.91312
-0.0004381,2.91346
-0.00043797,2.91312
-0.00043784,2.91312
-0.00043771,2.91346
-0.00043758,2.91346
-0.00043745,2.91346
-0.00043732,2.9138
-0.00043719,2.91346
-0.00043706,2.9138
-0.00043693,2.91346
-0.0004368,2.91312
-0.00043667,2.91346
-0.00043654,2.91346
-0.00043641,2.91312
-0.00043628,2.9138
-0.00043615,2.91279
-0.00043602,2.91312
-0.00043589,2.91346
-0.00043576,2.91346
-0.00043563,2.91312
-0.0004355,2.9138
-0.00043537,2.91312
-0.00043524,2.91346
-0.00043511,2.91346
-0.00043498,2.91346
-0.00043485,2.9138
-0.00043472,2.9138
-0.00043459,2.9138
-0.00043446,2.9138
-0.00043433,2.9138
-0.0004342,2.9138
-0.00043407,2.9138
-0.00043394,2.9138
-0.00043381,2.9138
-0.00043368,2.91346
-0.00043355,2.91312
-0.00043342,2.91346
-0.00043329,2.91312
-0.00043316,2.91312
-0.00043303,2.91312
-0.0004329,2.91312
-0.00043277,2.91279
-0.00043264,2.91279
-0.00043251,2.91312
-0.00043238,2.91312
-0.00043225,2.91346
-0.00043212,2.91279
-0.00043199,2.91346
-0.00043186,2.91279
-0.00043173,2.91279
-0.0004316,2.91279
-0.00043147,2.91279
-0.00043134,2.91279
-0.00043121,2.91279
-0.00043108,2.91312
-0.00043095,2.91279
-0.00043082,2.91279
-0.00043069,2.91279
-0.00043056,2.91312
-0.00043043,2.91279
-0.0004303,2.91279
-0.00043017,2.91279
-0.00043004,2.91279
-0.00042991,2.91279
-0.00042978,2.91312
-0.00042965,2.91312
-0.00042952,2.91312
-0.00042939,2.91346
-0.00042926,2.9138
-0.00042913,2.91312
-0.000429,2.91346
-0.00042887,2.91312
-0.00042874,2.91346
-0.00042861,2.91346
-0.00042848,2.9138
-0.00042835,2.91346
-0.00042822,2.91312
-0.00042809,2.91346
-0.00042796,2.91312
-0.00042783,2.91346
-0.0004277,2.91279
-0.00042757,2.91346
-0.00042744,2.91312
