V1, Vout
-0.0533533533534,0.065
-0.0531531531532,0.065
-0.052952952953,0.065
-0.0527527527528,0.065
-0.0525525525526,0.065
-0.0523523523524,0.065
-0.0521521521522,0.065
-0.051951951952,0.065
-0.0517517517518,0.065
-0.0515515515516,0.065
-0.0513513513514,0.065
-0.0511511511512,0.065
-0.050950950951,0.065
-0.0507507507508,0.065
-0.0505505505506,0.065
-0.0503503503504,0.065
-0.0501501501502,0.07
-0.0499499499499,0.065
-0.0497497497497,0.07
-0.0495495495495,0.07
-0.0493493493493,0.07
-0.0491491491491,0.07
-0.0489489489489,0.07
-0.0487487487487,0.07
-0.0485485485485,0.07
-0.0483483483483,0.07
-0.0481481481481,0.07
-0.0479479479479,0.07
-0.0477477477477,0.07
-0.0475475475475,0.07
-0.0473473473473,0.07
-0.0471471471471,0.07
-0.0469469469469,0.07
-0.0467467467467,0.07
-0.0465465465465,0.07
-0.0463463463463,0.07
-0.0461461461461,0.07
-0.0459459459459,0.07
-0.0457457457457,0.07
-0.0455455455455,0.07
-0.0453453453453,0.07
-0.0451451451451,0.07
-0.0449449449449,0.07
-0.0447447447447,0.07
-0.0445445445445,0.07
-0.0443443443443,0.07
-0.0441441441441,0.07
-0.0439439439439,0.07
-0.0437437437437,0.07
-0.0435435435435,0.07
-0.0433433433433,0.07
-0.0431431431431,0.07
-0.0429429429429,0.07
-0.0427427427427,0.075
-0.0425425425425,0.075
-0.0423423423423,0.075
-0.0421421421421,0.075
-0.0419419419419,0.075
-0.0417417417417,0.075
-0.0415415415415,0.075
-0.0413413413413,0.075
-0.0411411411411,0.075
-0.0409409409409,0.075
-0.0407407407407,0.075
-0.0405405405405,0.075
-0.0403403403403,0.075
-0.0401401401401,0.075
-0.0399399399399,0.075
-0.0397397397397,0.075
-0.0395395395395,0.075
-0.0393393393393,0.075
-0.0391391391391,0.075
-0.0389389389389,0.075
-0.0387387387387,0.075
-0.0385385385385,0.075
-0.0383383383383,0.075
-0.0381381381381,0.075
-0.0379379379379,0.075
-0.0377377377377,0.08
-0.0375375375375,0.08
-0.0373373373373,0.08
-0.0371371371371,0.08
-0.0369369369369,0.08
-0.0367367367367,0.08
-0.0365365365365,0.08
-0.0363363363363,0.08
-0.0361361361361,0.08
-0.0359359359359,0.08
-0.0357357357357,0.08
-0.0355355355355,0.08
-0.0353353353353,0.08
-0.0351351351351,0.08
-0.0349349349349,0.08
-0.0347347347347,0.08
-0.0345345345345,0.08
-0.0343343343343,0.08
-0.0341341341341,0.085
-0.0339339339339,0.085
-0.0337337337337,0.085
-0.0335335335335,0.085
-0.0333333333333,0.085
-0.0331331331331,0.085
-0.0329329329329,0.085
-0.0327327327327,0.085
-0.0325325325325,0.085
-0.0323323323323,0.085
-0.0321321321321,0.085
-0.0319319319319,0.085
-0.0317317317317,0.085
-0.0315315315315,0.085
-0.0313313313313,0.085
-0.0311311311311,0.085
-0.0309309309309,0.085
-0.0307307307307,0.085
-0.0305305305305,0.085
-0.0303303303303,0.085
-0.0301301301301,0.09
-0.0299299299299,0.09
-0.0297297297297,0.09
-0.0295295295295,0.09
-0.0293293293293,0.09
-0.0291291291291,0.09
-0.0289289289289,0.09
-0.0287287287287,0.09
-0.0285285285285,0.09
-0.0283283283283,0.09
-0.0281281281281,0.09
-0.0279279279279,0.09
-0.0277277277277,0.09
-0.0275275275275,0.09
-0.0273273273273,0.09
-0.0271271271271,0.095
-0.0269269269269,0.095
-0.0267267267267,0.095
-0.0265265265265,0.095
-0.0263263263263,0.095
